name1,name2,is_match,name1_clean,name2_clean,name1_clean,name2_clean,cosine_sim,sbert_sim,jaro_sim,metaphone_match,soundex_match,Levenshtein,jaccard,token_set_ratio,similar_gender,is_abbreviation,predicted_match,match_probability
surjith kamath,a sujith,0,surjith kamath,a sujith,surjith kamath,a sujith,0.34066346875092657,0.5320563,0.6488095238095238,0,0,10,0.0,0.73,0,0,0,0.110452875
pushparaj s karmarkar,t s pushpa raj,0,pushparaj s karmarkar,t s pushpa raj,pushparaj s karmarkar,t s pushpa raj,0.5606038070535573,0.54887503,0.6428571428571428,0,0,15,0.16666666666666666,0.63,0,0,0,0.11021868
pramatha nath datta,p n dutta,1,pramatha nath datta,p n dutta,pramatha nath datta,p n dutta,0.20249727802943657,0.5342449,0.5497076023391813,0,0,11,0.0,0.57,1,0,0,0.110452875
pramatha nath datta general surgeon,p n dutta,1,pramatha nath datta,p n dutta,pramatha nath datta,p n dutta,0.20249727802943657,0.5342449,0.5497076023391813,0,0,11,0.0,0.57,1,0,0,0.110452875
rajan madan,dheerain mandal,0,rajan madan,dheerain mandal,rajan madan,dheerain mandal,0.07827416011933769,0.3408171,0.769023569023569,0,0,8,0.0,0.46,0,0,0,0.110452875
devajit choudhury,d dev,0,devajit choudhury,d dev,devajit choudhury,d dev,0.22400746589111167,0.4396121,0.5950980392156863,0,0,14,0.0,0.45,0,0,0,0.110452875
raman sharma,moonish sharma,0,raman sharma,moonish sharma,raman sharma,moonish sharma,0.40605687787391415,0.6490634,0.7605820105820106,0,0,7,0.3333333333333333,0.69,1,0,0,0.106695026
pramatha nath datta,p n dutta,0,pramatha nath datta,p n dutta,pramatha nath datta,p n dutta,0.20249727802943657,0.5342449,0.5497076023391813,0,0,11,0.0,0.57,1,0,0,0.110452875
g v praveen kumar,praveenkumar s,0,g v praveen kumar,praveenkumar s,g v praveen kumar,praveenkumar s,0.6355162262472427,0.5890257,0.7695539754363283,0,0,7,0.0,0.52,0,0,0,0.16344401
arup kanti deb,d dev,0,arup kanti deb,d dev,arup kanti deb,d dev,0.10026397035172772,0.20228398,0.4238095238095238,0,0,11,0.0,0.32,0,0,0,0.110452875
subhajit malakar,subhojit nath,0,subhajit malakar,subhojit nath,subhajit malakar,subhojit nath,0.2971478783448467,0.5804092,0.67752849002849,0,1,7,0.0,0.62,0,0,0,0.110452875
tamonas chaudhuri,nasrun chowdhury,0,tamonas chaudhuri,nasrun chowdhury,tamonas chaudhuri,nasrun chowdhury,0.15403887127961893,0.43450886,0.7630718954248367,0,0,9,0.0,0.61,0,0,0,0.110452875
santanu chaudhuri general surgeon,nasrun chowdhury,0,santanu chaudhuri,nasrun chowdhury,santanu chaudhuri,nasrun chowdhury,0.1349019035131775,0.43930024,0.7352941176470589,0,0,8,0.0,0.61,0,0,0,0.110452875
mansuri hamid ushmanbhai,hameed mansoori,0,mansuri hamid ushmanbhai,hameed mansoori,mansuri hamid ushmanbhai,hameed mansoori,0.21722904396897644,0.49291593,0.579040404040404,0,0,17,0.0,0.56,1,0,0,0.110452875
sambit tripathy,sambit kar,0,sambit tripathy,sambit kar,sambit tripathy,sambit kar,0.6472325023819235,0.61709595,0.8777777777777778,0,1,7,0.3333333333333333,0.75,0,0,0,0.1111077
rais ansari,mazavi ansari,0,rais ansari,mazavi ansari,rais ansari,mazavi ansari,0.42858755019870415,0.6325424,0.7257187257187256,0,0,5,0.3333333333333333,0.75,1,0,0,0.106695026
aftab ansari,mazavi ansari,0,aftab ansari,mazavi ansari,aftab ansari,mazavi ansari,0.3485627606103071,0.6008698,0.8141025641025642,0,0,5,0.3333333333333333,0.72,1,0,0,0.106695026
pradeep reddy v,pradeep m,0,pradeep reddy v,pradeep m,pradeep reddy v,pradeep m,0.7030062536490007,0.48923913,0.8844444444444444,0,1,7,0.25,0.88,0,0,0,0.11277618
prashant kumar,prashant meena,0,prashant kumar,prashant meena,prashant kumar,prashant meena,0.6203873780143982,0.59353447,0.9142857142857143,0,1,5,0.3333333333333333,0.79,0,0,0,0.10862565
alind kishore,m s ain,0,alind kishore,m s ain,alind kishore,m s ain,0.029140032363422434,0.19662513,0.4597069597069597,0,0,11,0.0,0.5,0,0,0,0.110452875
kishore reddy juturu,k v subba,0,kishore reddy juturu,k v subba,kishore reddy juturu,k v subba,0.005951922214104037,0.22456181,0.3833333333333333,0,0,16,0.0,0.21,0,0,0,0.110452875
s anwar basha general surgeon,masthan bhasa p,0,s anwar basha,masthan bhasa p,s anwar basha,masthan bhasa p,0.052037346445278895,0.29376388,0.7689199689199689,0,0,10,0.0,0.57,1,0,0,0.110452875
satyendra kaushik,s sutar,0,satyendra kaushik,s sutar,satyendra kaushik,s sutar,0.008575787888420783,0.28968766,0.5189075630252101,0,0,14,0.0,0.42,0,0,0,0.110452875
navaneetha krishnan srinivasan,g p navaneethan,0,navaneetha krishnan srinivasan,g p navaneethan,navaneetha krishnan srinivasan,g p navaneethan,0.582746897239492,0.6243659,0.5944444444444446,0,0,23,0.0,0.53,0,0,0,0.1661452
anwar basha,masthan bhasa p,0,anwar basha,masthan bhasa p,anwar basha,masthan bhasa p,0.05304115364416451,0.28257248,0.694949494949495,0,0,9,0.0,0.54,1,0,0,0.110452875
